ExpID,,Plot,Date,Depth From,Depth To,ALUM,BD,BORO,CALC,CEC,CHLO,COPP,ELEC,IRON,MAGN,MANG,NH4,NO3,ORGC,PH,PHOS,POTA,RESID,RESIDCN,SODI,SULF,SWC,TOTN,ZINC
3,,205,28/01/1993,0,20,,1.299999952,,,,,,,,,,22,16.20000076,,,,,,,,,0.239199996,,
3,,205,28/01/1993,20,40,,1.399999976,,,,,,,,,,1.200000048,5.699999809,,,,,,,,,0.204400003,,
3,,205,28/01/1993,40,60,,1.299999952,,,,,,,,,,0.5,4.599999905,,,,,,,,,0.206699997,,
3,,205,28/01/1993,60,90,,1.399999976,,,,,,,,,,0.400000006,4.800000191,,,,,,,,,0.280000001,,
3,,205,28/01/1993,90,120,,1.399999976,,,,,,,,,,0.400000006,5.199999809,,,,,,,,,0.355599999,,
3,,205,28/01/1993,120,150,,1.399999976,,,,,,,,,,0.300000012,2,,,,,,,,,0.424199998,,
3,,205,3/3/1993,0,20,,1.299999952,,,,,,,,,,1,4.800000191,,,,,,,,,0.227500007,,
3,,205,3/3/1993,20,40,,1.399999976,,,,,,,,,,0.800000012,2.700000048,,,,,,,,,0.264600009,,
3,,205,3/3/1993,40,60,,1.299999952,,,,,,,,,,0.300000012,4.099999905,,,,,,,,,0.284700006,,
3,,205,3/3/1993,60,90,,1.399999976,,,,,,,,,,0.100000001,3.200000048,,,,,,,,,0.370999992,,
3,,205,4/6/1993,0,20,,1.299999952,,,,,,,,,,0.300000012,1.100000024,,,,,,,,,0.304199994,,
3,,205,4/6/1993,20,40,,1.399999976,,,,,,,,,,0.100000001,1.299999952,,,,,,,,,0.307999998,,
3,,205,4/6/1993,40,60,,1.299999952,,,,,,,,,,0.100000001,0.5,,,,,,,,,0.321099997,,
3,,205,4/6/1993,60,90,,1.399999976,,,,,,,,,,0,0.899999976,,,,,,,,,0.373800009,,
3,,206,21/07/1991,0,20,0.119999997,,0.029999999,4.670000076,6.230000019,20,1.5,0.039999999,159,1.230000019,27,,3.599999905,0.800000012,5.5,87,0.109999999,,,0.100000001,5,,,2.900000095
3,,206,20/07/1992,0,20,,1.200000048,,,,,,,,,,4,3.099999905,,,,,,,,,0.0276,,
3,,206,20/07/1992,20,40,,1.5,,,,,,,,,,2.599999905,2.400000095,,,,,,,,,0.243000001,,
3,,206,20/07/1992,40,60,,1.399999976,,,,,,,,,,0.899999976,1.899999976,,,,,,,,,0.27579999,,
